Tabel 2.  Gemiddeld aantal personenauto's per huishouden naar wijk, 1 januari 2023;;;;;
;;;;;
Wijknaam  ;Wijkcode ;Gemeentenaam;Gemeentecode ;Personenauto's per huishouden (afgerond);
Centrum;WK001400  ;Groningen                               ;GM0014;0,2;
Oud-Zuid;WK001401  ;Groningen                               ;GM0014;0,4;
Oud-West;WK001402  ;Groningen                               ;GM0014;0,4;
Oud-Noord;WK001403  ;Groningen                               ;GM0014;0,4;
Oosterparkwijk;WK001404  ;Groningen                               ;GM0014;0,4;
Zuidoost;WK001405  ;Groningen                               ;GM0014;0,6;
Helpman e.o.;WK001406  ;Groningen                               ;GM0014;0,7;
Zuidwest;WK001407  ;Groningen                               ;GM0014;0,7;
Hoogkerk e.o.;WK001408  ;Groningen                               ;GM0014;1,0;
Nieuw-West;WK001409  ;Groningen                               ;GM0014;0,6;
Noordwest;WK001410  ;Groningen                               ;GM0014;0,4;
Noordoost;WK001411  ;Groningen                               ;GM0014;0,8;
Noorddijk e.o.;WK001412  ;Groningen                               ;GM0014;0,9;
Meerdorpen;WK001413  ;Groningen                               ;GM0014;1,2;
Meerstad e.o.;WK001414  ;Groningen                               ;GM0014;1,3;
Ten Boer e.o.;WK001415  ;Groningen                               ;GM0014;1,2;
Ten Post e.o.;WK001416  ;Groningen                               ;GM0014;1,4;
Haren-West e.o.;WK001417  ;Groningen                               ;GM0014;1,0;
Haren-Oost e.o.;WK001418  ;Groningen                               ;GM0014;1,0;
Glimmen-Onnen-Noordlaren;WK001419  ;Groningen                               ;GM0014;1,3;
Centrum Almere Haven;WK003401  ;Almere                                  ;GM0034;0,7;
De Werven;WK003402  ;Almere                                  ;GM0034;0,8;
De Hoven;WK003403  ;Almere                                  ;GM0034;0,8;
De Meenten;WK003404  ;Almere                                  ;GM0034;0,9;
De Grienden;WK003405  ;Almere                                  ;GM0034;1,0;
De Marken;WK003406  ;Almere                                  ;GM0034;1,0;
De Gouwen;WK003407  ;Almere                                  ;GM0034;1,1;
De Wierden;WK003408  ;Almere                                  ;GM0034;0,8;
De Velden;WK003409  ;Almere                                  ;GM0034;1,4;
Overgooi;WK003410  ;Almere                                  ;GM0034;1,5;
De Laren;WK003411  ;Almere                                  ;GM0034;1,1;
De Steiger;WK003414  ;Almere                                  ;GM0034;.;
Stichtsekant;WK003415  ;Almere                                  ;GM0034;.;
Overig Almere Haven;WK003416  ;Almere                                  ;GM0034;.;
Centrum Almere Stad;WK003417  ;Almere                                  ;GM0034;0,5;
Filmwijk;WK003418  ;Almere                                  ;GM0034;0,9;
Danswijk;WK003419  ;Almere                                  ;GM0034;1,0;
Parkwijk;WK003420  ;Almere                                  ;GM0034;1,0;
Verzetswijk;WK003421  ;Almere                                  ;GM0034;1,0;
Waterwijk;WK003422  ;Almere                                  ;GM0034;1,0;
Tussen de Vaarten Noord;WK003423  ;Almere                                  ;GM0034;1,0;
Tussen de Vaarten Zuid;WK003424  ;Almere                                  ;GM0034;1,0;
Staatsliedenwijk;WK003425  ;Almere                                  ;GM0034;0,6;
Kruidenwijk;WK003426  ;Almere                                  ;GM0034;0,9;
Stedenwijk;WK003427  ;Almere                                  ;GM0034;0,8;
Muziekwijk Noord;WK003428  ;Almere                                  ;GM0034;1,0;
Muziekwijk Zuid;WK003429  ;Almere                                  ;GM0034;0,9;
Literatuurwijk;WK003430  ;Almere                                  ;GM0034;1,0;
Noorderplassen;WK003431  ;Almere                                  ;GM0034;1,2;
Hortus;WK003432  ;Almere                                  ;GM0034;.;
Randstad;WK003434  ;Almere                                  ;GM0034;0,2;
Markerkant;WK003435  ;Almere                                  ;GM0034;.;
Hollandsekant;WK003436  ;Almere                                  ;GM0034;.;
Gooisekant;WK003437  ;Almere                                  ;GM0034;0,0;
Veluwsekant;WK003438  ;Almere                                  ;GM0034;.;
Sallandsekant;WK003439  ;Almere                                  ;GM0034;.;
Overig Almere Stad;WK003440  ;Almere                                  ;GM0034;.;
Centrum Almere Buiten;WK003441  ;Almere                                  ;GM0034;0,6;
Oostvaardersbuurt;WK003442  ;Almere                                  ;GM0034;1,1;
Seizoenenbuurt;WK003443  ;Almere                                  ;GM0034;1,1;
Molenbuurt;WK003444  ;Almere                                  ;GM0034;0,9;
