Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
Nederland;;;27,9;40,0;20,0
GM0014;Totaal;Groningen;25,6;59,5;11,8
;WK001400;Centrum;22,5;79,6;5,4
;WK001401;Oud-Zuid;25,5;68,1;6,9
;WK001402;Oud-West;25,9;67,1;9,7
;WK001403;Oud-Noord;21,1;75,3;4,5
;WK001404;Oosterparkwijk;23,5;71,5;6,2
;WK001405;Zuidoost;34,9;38,8;21,0
;WK001406;Helpman e.o.;31,7;48,8;17,2
;WK001407;Zuidwest;30,0;51,4;15,7
;WK001408;Hoogkerk e.o.;25,2;37,5;21,4
;WK001409;Nieuw-West;22,7;57,5;12,8
;WK001410;Noordwest;19,7;73,8;5,0
;WK001411;Noordoost;23,6;47,4;11,7
;WK001412;Noorddijk e.o.;24,5;39,8;13,7
;WK001413;Meerdorpen;30,0;29,1;28,4
;WK001414;Meerstad e.o.;30,6;9,8;48,9
;WK001415;Ten Boer e.o.;25,0;30,6;19,7
;WK001416;Ten Post e.o.;26,0;31,1;18,6
;WK001417;Haren-West e.o.;36,1;32,8;32,1
;WK001418;Haren-Oost e.o.;27,2;30,5;22,9
;WK001419;Glimmen-Onnen-Noordlaren;35,5;23,2;37,6
GM0034;Totaal;Almere;26,9;34,2;21,5
;WK003401;Centrum Almere Haven;25,7;58,1;5,8
;WK003402;De Werven;22,2;49,2;7,8
;WK003403;De Hoven;22,3;51,4;9,8
;WK003404;De Meenten;26,2;37,5;15,9
;WK003405;De Grienden;25,1;36,5;17,1
;WK003406;De Marken;24,6;33,5;15,0
;WK003407;De Gouwen;28,1;28,9;22,3
;WK003408;De Wierden;19,9;59,0;6,8
;WK003409;De Velden;40,4;9,4;51,3
;WK003410;Overgooi;55,5;11,2;67,1
;WK003411;De Laren;22,8;38,8;23,0
;WK003414;De Steiger;.;.;.
;WK003415;Stichtsekant;.;.;.
;WK003416;Overig Almere Haven;.;.;.
;WK003417;Centrum Almere Stad;29,2;51,3;8,2
;WK003418;Filmwijk;27,7;36,2;21,7
;WK003419;Danswijk;24,5;29,9;21,1
;WK003420;Parkwijk;28,6;32,6;28,5
;WK003421;Verzetswijk;29,1;26,3;28,5
;WK003422;Waterwijk;25,7;34,8;17,0
;WK003423;Tussen de Vaarten Noord;25,4;32,8;21,3
;WK003424;Tussen de Vaarten Zuid;27,0;27,9;24,2
;WK003425;Staatsliedenwijk;19,6;61,9;5,8
;WK003426;Kruidenwijk;24,3;37,3;15,6
;WK003427;Stedenwijk;21,1;48,6;10,2
;WK003428;Muziekwijk Noord;28,5;29,5;24,7
;WK003429;Muziekwijk Zuid;26,3;38,5;18,2
;WK003430;Literatuurwijk;27,8;27,6;31,5
;WK003431;Noorderplassen;34,4;15,6;44,7
;WK003432;Hortus;.;.;.
;WK003434;Randstad;.;.;.
;WK003435;Markerkant;.;.;.
;WK003436;Hollandsekant;.;.;.
;WK003437;Gooisekant;.;.;.
;WK003438;Veluwsekant;.;.;.
;WK003439;Sallandsekant;.;.;.
;WK003440;Overig Almere Stad;.;.;.
;WK003441;Centrum Almere Buiten;23,3;62,3;5,4
;WK003442;Oostvaardersbuurt;26,3;26,7;27,9
;WK003443;Seizoenenbuurt;27,5;26,5;25,7
;WK003444;Molenbuurt;21,5;46,1;11,9
;WK003445;Bouwmeesterbuurt;23,2;38,7;12,1
;WK003446;Landgoederenbuurt;26,3;30,7;23,7
;WK003447;Faunabuurt;27,0;26,8;27,5
;WK003448;Bloemenbuurt;25,2;36,8;16,8
;WK003449;Regenboogbuurt;26,2;30,7;20,9
;WK003450;Indischebuurt;24,3;49,9;9,5
;WK003451;Eilandenbuurt;28,2;25,0;26,8
;WK003452;Stripheldenbuurt;27,4;25,1;29,4
;WK003453;Sieradenbuurt;34,2;12,0;39,8
;WK003456;Poldervlak;.;.;.
;WK003457;De Vaart;.;.;.
;WK003458;Buitenvaart;29,7;.;.
;WK003459;Overig Almere Buiten;.;.;.
;WK003460;Europakwartier Oost;.;.;.
;WK003461;Europakwartier West;29,7;34,2;15,6
;WK003462;Columbuskwartier;28,6;27,9;24,1
;WK003463;Homeruskwartier;28,7;23,4;26,6
;WK003464;Olympiakwartier Oost;.;.;.
;WK003465;Olympiakwartier West;14,7;59,6;5,6
;WK003466;Duin;36,9;16,2;42,1
;WK003471;Hogekant;.;.;.
;WK003472;Middenkant;.;.;.
;WK003473;Lagekant;.;.;.
;WK003474;Overig Almere Poort;.;.;.
;WK003475;Vogelhorst;48,8;7,2;60,4
;WK003476;Nobelhorst;29,9;17,6;38,9
;WK003477;Oosterwold;34,0;17,6;39,4
;WK003479;Twentsekant;.;.;.
;WK003485;Overig Almere Hout;.;.;.
;WK003496;Overig Almere Pampus;.;.;.
GM0037;Totaal;Stadskanaal;22,6;46,9;11,9
;WK003701;Stadskanaal;22,7;49,6;11,1
;WK003702;Musselkanaal;21,9;47,0;10,1
;WK003703;Onstwedde;22,5;39,7;17,0
;WK003704;Mussel;24,3;29,2;19,5
;WK003705;Alteveer;24,5;35,8;16,0
GM0047;Totaal;Veendam;23,6;43,9;12,2
;WK004700;Wijk 00 Veendam-kern;22,6;47,2;9,9
;WK004701;Wijk 01 Veendam-buitengebied;26,1;27,6;18,8
;WK004702;Wijk 02 Wildervank;26,3;36,8;19,0
GM0050;Totaal;Zeewolde;28,1;33,3;24,3
;WK005000;Wijk 00;28,1;33,3;24,3
GM0059;Totaal;Achtkarspelen;22,0;40,9;14,0
;WK005900;Wijk 00 Noord;22,0;40,3;14,2
;WK005901;Wijk 01 Centrum;22,5;36,0;16,9
;WK005902;Wijk 02 Zuid;21,8;42,7;13,2
GM0060;Totaal;Ameland;24,3;40,4;18,1
;WK006000;Wijk 00;24,3;40,3;18,1
GM0072;Totaal;Harlingen;23,9;47,2;12,5
;WK007200;Wijk 00 Harlingen;23,7;47,9;12,3
;WK007201;Wijk 01 Midlum;26,8;39,4;16,4
;WK007202;Wijk 02 Wijnaldum;24,2;37,6;14,8
GM0074;Totaal;Heerenveen;25,9;40,5;17,9
;WK007401;Wijk 01 Heerenveen;25,7;45,6;15,1
;WK007402;Wijk 02 Noord-Heerenveen;25,9;23,7;25,5
;WK007403;Wijk 03 Hoornsterzwaag;28,4;25,9;27,9
;WK007404;Wijk 04 Jubbega;24,5;36,1;18,9
;WK007406;Wijk 06 Oranjewoud;33,3;21,9;34,6
;WK007407;Skarsterlân;25,1;26,4;24,7
;WK007409;Boarnsterhim;26,2;34,6;21,8
GM0080;Totaal;Leeuwarden;24,5;50,9;12,5
;WK008010;Binnenstad;22,6;78,6;4,3
;WK008011;Potmargezone;22,0;62,0;7,0
;WK008020;Oud-Oost;20,9;68,2;4,5
;WK008030;Sonnenborgh e.o.;26,4;53,5;13,5
;WK008031;Westeinde e.o.;24,2;36,9;13,4
;WK008032;Vossepark & Helicon;28,4;38,1;19,5
;WK008040;Huizum-West;23,8;53,5;7,1
;WK008041;Nijlân & De Zwette;22,6;66,4;3,6
;WK008050;Heechterp & Schieringen;17,6;78,5;1,4
;WK008051;Camminghaburen e.o.;25,5;35,8;14,4
;WK008060;Bilgaard & Havankpark e.o.;18,9;70,9;5,0
;WK008061;Vrijheidswijk;18,1;70,1;5,0
;WK008062;Dokkumer Ie e.o.;28,5;26,8;26,2
;WK008063;Stiens e.o.;25,3;31,1;18,1
;WK008070;Aldlân & De Hemrik;25,6;46,1;10,3
;WK008071;Goutum;30,4;14,1;30,9
;WK008072;Hempens/Teerns & Zuiderburen;32,4;10,4;43,0
;WK008073;De Zuidlanden;27,5;8,1;39,9
;WK008074;Middelsee;.;.;.
;WK008080;Dorpen Zuid-Oost;25,3;35,6;19,6
;WK008081;Dorpen Zuid-West;26,9;29,3;24,4
;WK008082;Grou e.o.;26,4;37,7;18,9
GM0085;Totaal;Ooststellingwerf;24,2;39,9;15,6
;WK008501;Appelscha;25,1;42,3;15,5
;WK008502;Donkerbroek;24,4;33,5;19,4
;WK008503;Elsloo;24,1;30,6;19,6
;WK008504;Fochteloo;30,9;19,9;27,0
;WK008505;Haule;26,1;25,1;30,0
;WK008506;Haulerwijk;23,1;41,4;16,7
;WK008507;Langedijke;27,1;15,7;29,6
;WK008508;Makkinga;27,9;30,0;23,7
;WK008509;Nijeberkoop;25,5;27,9;26,1
;WK008510;Oldeberkoop;26,0;35,6;16,9
;WK008511;Oosterwolde;22,8;45,3;10,9
;WK008512;Ravenswoud;28,1;24,5;26,4
;WK008513;Waskemeer;23,8;27,2;21,7
GM0086;Totaal;Opsterland;25,4;35,3;19,7
;WK008601;Bakkeveen;27,2;31,8;21,4
;WK008602;Beetsterzwaag;29,8;34,9;20,5
;WK008604;Frieschepalen;24,7;22,4;27,8
;WK008605;Gorredijk;23,4;45,1;13,0
;WK008606;Hemrik;26,7;32,1;24,2
;WK008607;Jonkerslân;27,4;22,1;31,0
;WK008608;Langezwaag;25,7;28,7;28,2
;WK008609;Lippenhuizen;25,9;31,4;21,4
;WK008610;Luxwoude;26,9;22,0;29,2
;WK008611;Nij Beets;25,5;29,7;24,1
;WK008613;Siegerswoude;30,7;21,9;29,4
;WK008614;Terwispel;25,4;26,7;26,7
;WK008615;Tijnje;25,3;30,2;22,0
;WK008616;Ureterp;23,8;34,7;18,9
;WK008617;Wijnjewoude;24,1;35,4;19,9
GM0088;Totaal;Schiermonnikoog;26,8;46,9;11,3
;WK008800;Wijk 00;26,8;46,9;11,3
GM0090;Totaal;Smallingerland;24,4;42,3;14,5
;WK009000;Wijk 00 Drachten;24,1;44,6;12,4
;WK009001;Wijk 01 Overig Smallingerland;25,8;31,1;24,8
GM0093;Totaal;Terschelling;27,6;45,7;18,3
;WK009300;Wijk 00 West-Terschelling;26,6;53,0;14,3
;WK009301;Wijk 01 Midsland;28,4;38,8;20,5
;WK009302;Wijk 02 Formerum;33,6;30,4;24,8
;WK009303;Wijk 03 Lies;27,4;.;.
;WK009304;Wijk 04 Hoorn;28,4;38,0;26,5
;WK009305;Wijk 05 Oosterend;23,6;.;.
GM0096;Totaal;Vlieland;28,1;51,6;18,4
;WK009600;Wijk 00;28,1;51,6;18,4
GM0098;Totaal;Weststellingwerf;23,9;40,2;16,0
;WK009800;Wolvega;22,8;46,1;11,5
;WK009801;De Wolden-Ter Idzard;27,6;20,3;31,6
;WK009802;De Lamers;25,2;21,9;40,6
;WK009803;Lange-Nije-Munk;25,3;27,2;23,4
;WK009804;Scherpenzeel-Spanga;23,8;31,5;22,0
;WK009805;Oldetrijne-Sonnega;25,8;17,9;31,5
;WK009806;Blesdijke;25,9;21,3;33,3
;WK009807;De Blesse-Peperga;22,9;32,3;17,5
;WK009808;Steggerda;24,3;34,2;17,5
;WK009809;De Hoeve-Vinkega;28,4;19,2;34,2
;WK009810;Noordwolde;22,7;49,8;11,9
;WK009811;Oosterstreek;27,0;25,9;22,3
;WK009812;Zandhuizen;27,2;36,6;16,9
;WK009813;Boijl;26,8;28,9;23,3
;WK009814;Nijeholtpade;27,1;19,1;34,0
;WK009815;Oldeholtpade;26,8;23,4;23,4
GM0106;Totaal;Assen;25,9;41,1;15,2
;WK010600;Centrum;30,4;56,5;12,7
;WK010601;Lariks;22,8;62,0;5,3
;WK010602;Noorderpark;22,8;56,0;7,0
;WK010603;Assen-Oost;26,8;48,3;13,4
;WK010604;Pittelo;20,6;41,9;7,9
;WK010605;Assen-West;26,5;33,2;14,8
;WK010606;Peelo;23,6;36,4;10,5
;WK010607;Marsdijk;27,5;23,2;22,5
;WK010608;Kloosterveen;27,0;16,4;31,8
;WK010699;Buitengebied;30,9;28,4;32,9
GM0109;Totaal;Coevorden;25,3;38,0;17,5
;WK010910;Wijk 10 Coevorden;23,1;45,0;11,4
;WK010911;Wijk 11 Steenwijksmoer;25,0;27,0;20,4
;WK010912;Wijk 12 Nieuwe Krim;21,7;.;.
;WK010913;Wijk 13 Weijerswold;.;.;.
;WK010914;Wijk 14 Vlieghuis en Padhuis;23,3;.;.
;WK010920;Wijk 20 Dalen;27,6;30,3;24,5
;WK010930;Wijk 30 Oosterhesselen;25,5;31,6;21,9
;WK010940;Wijk 40 Sleen;26,5;37,6;19,2
;WK010950;Wijk 50 Zweeloo;28,6;32,3;23,7
GM0114;Totaal;Emmen;23,9;43,6;13,6
;WK011401;Wijk 01 Nieuw-Weerdinge;22,5;40,8;15,4
;WK011402;Wijk 02 Roswinkel;24,7;34,0;16,3
;WK011403;Wijk 03 Emmer-Compascuum;22,6;41,0;12,8
;WK011404;Wijk 04 Barger-Compascuum;23,0;38,7;13,7
;WK011405;Wijk 05 Nieuw-Dordrecht;23,8;34,7;19,8
;WK011406;Wijk 06 Nieuw-Amsterdam;23,7;39,5;16,3
;WK011407;Wijk 07 Erica;25,3;33,4;20,4
;WK011408;Wijk 08 Klazienaveen;23,2;42,2;14,3
;WK011409;Wijk 09 Zwartemeer;22,6;38,3;15,1
;WK011410;Wijk 10 Schoonebeek;25,0;34,2;16,2
;WK011413;Wijk 13 Veenoord;21,5;47,4;10,2
;WK011421;Wijk 21 Nieuw-Schoonebeek;25,9;30,6;20,6
;WK011432;Wijk 32 Weiteveen;23,1;39,1;15,8
;WK011440;Wijk 40 Emmen-Centrum;25,5;63,0;5,7
;WK011441;Wijk 41 Emmen-Centrum Oost;27,6;41,4;20,2
;WK011442;Wijk 42 Emmermeer;21,1;62,0;7,7
;WK011443;Wijk 43 Angelslo;19,5;60,6;4,7
;WK011444;Wijk 44 Emmerhout;21,2;55,9;5,6
;WK011445;Wijk 45 Emmerschans;21,5;41,5;10,1
;WK011446;Wijk 46 Bargeres;22,7;48,5;8,1
;WK011447;Wijk 47 Rietlanden;27,4;28,3;20,4
;WK011448;Wijk 48 Parc Sandur;34,0;13,3;30,3
;WK011449;Wijk 49 Delftlanden;28,4;8,6;37,0
;WK011450;Wijk 50 Barger-Oosterveld;25,7;30,0;23,5
;WK011451;Wijk 51 Kern Emmen Noord;26,5;28,8;21,8
;WK011452;Wijk 52 Kern Emmen Zuid;40,6;22,4;33,1
;WK011453;Wijk 53 Kern Emmen Industrieterreinen;.;.;.
GM0118;Totaal;Hoogeveen;23,5;41,5;14,1
;WK011850;Wijk 50 Hoogeveen;22,0;52,3;8,3
;WK011851;Wijk 51 De Weide;26,3;27,0;20,7
;WK011852;Wijke 52 Fluitenberg;27,1;19,7;28,5
;WK011853;Wijk 53 Elim;23,2;35,3;14,5
;WK011854;Wijk 54 Hollandscheveld;21,9;40,0;16,7
;WK011855;Wijk 55 Noordscheschut;23,1;31,5;19,6
;WK011856;Wijk 56 Nieuwlande;23,4;28,5;16,4
;WK011857;Wijk 57 Nieuweroord;22,8;30,0;23,8
;WK011858;Wijk 58 Tiendeveen;24,2;32,0;19,6
;WK011859;Wijk 59 Stuifzand;25,9;27,0;24,6
;WK011860;Wijk 60 Pesse;25,1;32,8;20,3
;WK011861;Wijk 61 Zuideropgaande Nieuw Moscou;23,0;31,6;24,4
;WK011862;Wijk 62 Industrie- en verspr. gebieden;27,9;25,7;34,6
GM0119;Totaal;Meppel;26,2;39,3;17,5
;WK011900;Centrum;28,4;49,9;13,0
;WK011901;Watertoren;22,3;56,8;8,3
;WK011902;Haveltermade;21,8;61,4;5,1
;WK011903;Koedijkslanden;23,0;45,6;9,6
;WK011904;Berggierslanden;29,2;6,6;48,5
;WK011905;Ezinge;22,3;54,1;4,2
;WK011906;Oosterboer;28,7;23,6;24,5
;WK011907;Nieuwveenselanden;26,3;24,0;17,9
;WK011908;Blankenstein;.;.;.
;WK011909;Industrieterrein Noord;.;.;.
;WK011910;Industrie Oevers;26,7;.;.
